Target,Curricular units 2nd sem (approved),Curricular units 2nd sem (grade),Curricular units 1st sem (approved),Curricular units 1st sem (grade),Tuition fees up to date,Scholarship holder,Age at enrollment,Application mode,Curricular units 2nd sem (enrolled),Curricular units 1st sem (enrolled),Debtor,Displaced,Gender,Curricular units 2nd sem (evaluations)
2,7,0.8718343422360227,5,0.7600844009169737,1,0,22,1,8,7,0,1,0,9
0,5,0.7648481958638623,4,0.5646277697283913,0,0,20,17,6,6,0,0,0,7
0,0,-1.9548522619126447,0,-2.1734500378702823,1,0,29,39,5,5,0,0,0,0
1,3,0.8699573922996694,2,0.2486957150054674,1,0,24,17,5,5,0,0,0,11
2,5,0.6466003498735791,6,0.2837992766413477,1,0,18,17,6,6,0,1,0,8
2,7,0.7592173460548013,6,0.6734488107996204,1,1,22,17,8,7,0,1,0,9
2,6,0.6634928993007627,6,0.2486957150054674,1,1,21,44,6,6,0,0,0,7
2,6,0.5743377773239621,5,0.4242135231848697,1,1,19,1,6,6,0,0,0,7
2,6,0.8371107684134794,6,0.7050420162719129,1,1,24,39,6,6,0,0,0,6
1,6,0.3772580340068238,6,0.3189028382772284,1,1,19,1,8,8,0,1,0,10
1,3,0.2130249145758753,4,0.7752491395436738,1,1,20,1,6,6,0,1,0,12
2,5,1.1590076824981386,5,0.9256929751260184,1,0,19,1,5,5,0,0,0,5
0,5,0.2130249145758753,5,0.059136482171713,1,0,27,39,5,5,0,0,0,10
2,8,0.7244468484838489,7,0.5739887194979594,1,0,18,1,8,7,0,1,0,10
0,0,-1.9548522619126447,0,-2.1734500378702823,1,0,39,7,6,6,0,0,0,6
0,10,0.5874764268784378,5,0.5646277697283913,1,0,27,39,11,6,0,1,0,13
2,8,0.9885337045288142,8,0.9721801203209632,1,0,18,17,8,8,0,1,0,8
1,0,-1.9548522619126447,0,-2.1734500378702823,1,0,18,1,0,0,0,1,0,0
2,7,0.4537437439132369,6,0.5927106190370957,1,0,18,1,8,7,0,0,0,12
2,6,0.4101046578930135,6,0.3540063999131088,1,1,21,44,6,6,0,0,0,7
1,0,-1.9548522619126447,0,-2.1734500378702823,1,1,19,17,0,0,0,1,1,0
1,1,0.0159451712587371,5,0.2276335780239392,1,0,19,17,6,6,0,1,1,8
1,0,-1.9548522619126447,0,-2.1734500378702823,1,0,24,43,6,6,0,0,1,6
0,5,0.2130249145758753,5,0.3329442629315806,1,0,29,42,8,7,0,1,1,10
2,0,-1.9548522619126447,0,-2.1734500378702823,1,1,19,1,0,0,0,1,1,0
2,6,0.4945674050289299,6,0.4743614683789844,1,0,23,44,6,6,0,1,1,7
0,4,0.1637549787465907,5,0.1855093040608825,1,0,19,1,5,5,1,0,1,10
1,5,0.1736089659124478,6,0.3540063999131088,1,0,26,39,6,6,0,0,1,8
1,0,-1.9548522619126447,0,-2.1734500378702823,1,0,18,17,5,5,0,0,1,5
2,8,0.7549942086980053,7,0.3487408656677266,1,0,24,17,8,7,0,0,1,8
0,0,-1.9548522619126447,0,-2.1734500378702823,1,0,19,1,0,0,0,1,1,0
0,1,0.4101046578930135,3,0.2837992766413477,1,0,18,17,6,6,0,1,1,12
2,3,0.475797905665393,6,0.4242135231848697,1,0,18,1,6,6,0,1,1,11
0,3,0.1848706655305699,3,0.0029707835543045,1,0,18,17,5,5,1,1,1,11
0,1,0.2130249145758753,4,0.0380743451901848,1,1,21,18,6,6,0,1,1,11
2,6,0.6728776489825311,6,0.7050420162719129,1,1,19,17,6,6,1,1,1,6
2,8,1.012292762473158,7,0.9527728655308404,1,1,22,17,8,7,0,0,1,9
2,6,0.344411410120634,6,0.3540063999131088,1,0,33,39,6,6,0,0,1,6
0,5,0.4495206065564409,5,0.3961306738761651,1,0,20,1,6,6,0,1,1,7
0,0,-1.9548522619126447,0,-2.1734500378702823,1,0,35,39,5,1,0,1,1,0
0,10,0.6663083242052932,6,0.389109961548989,1,0,24,39,12,12,1,0,1,14
1,3,0.2787181623482548,5,0.3540063999131088,1,0,18,17,5,5,0,0,1,8
2,5,0.2130249145758753,6,0.1433850300978261,1,0,33,39,6,6,0,1,0,11
2,7,0.6229507806755227,7,0.581477479313614,1,1,22,42,8,8,0,1,0,8
2,5,0.3312727605661581,4,0.0380743451901848,1,1,25,39,5,5,0,0,0,7
2,5,0.2524408632393028,6,0.0731779068260651,1,0,20,17,6,6,0,1,1,6
1,5,0.7648481958638623,4,0.7752491395436738,1,0,23,1,5,5,0,1,1,5
1,0,-1.9548522619126447,2,-0.0672363397174564,1,0,18,43,5,5,1,1,1,9
0,0,-1.9548522619126447,0,-2.1734500378702823,1,0,24,39,7,7,0,0,1,7
2,6,0.7057242728687207,6,0.7752491395436738,0,0,21,17,6,6,0,1,0,6
0,0,-1.9548522619126447,2,0.3540063999131088,1,0,26,15,6,6,0,0,0,6
0,0,-1.9548522619126447,3,0.4944206464566303,1,0,39,39,6,6,0,0,0,14
2,6,0.475797905665393,8,0.3276787286861984,1,0,44,39,6,8,0,0,0,7
1,3,0.6564543370394361,5,0.7752491395436738,1,0,19,15,5,5,0,1,1,11
2,6,0.6728776489825311,6,0.7050420162719129,1,0,18,1,6,6,0,1,0,6
2,8,0.8984244663343673,7,0.7225937970898533,1,1,18,1,8,7,0,1,0,9
1,5,0.7648481958638623,5,0.8173734135067302,1,0,19,1,5,5,0,1,0,7
0,0,-1.9548522619126447,4,0.3455815451204976,0,0,19,1,7,7,1,1,0,7
0,5,0.686016298537007,8,0.538300098501481,1,0,21,53,9,10,0,0,0,14
2,0,-1.9548522619126447,0,-2.1734500378702823,1,0,20,1,0,0,0,1,0,0
0,0,-1.9548522619126447,0,-2.1734500378702823,1,0,36,39,6,6,0,1,0,0
2,13,0.849744085292783,18,0.9082731625849046,1,0,43,39,13,18,0,0,0,14
0,0,-1.9548522619126447,0,-2.1734500378702823,1,0,19,18,6,6,0,1,0,0
2,11,0.4638536787976873,10,0.5646277697283913,1,0,20,51,11,10,1,0,0,11
0,0,-1.9548522619126447,0,-2.1734500378702823,1,0,19,1,6,6,0,1,0,0
0,4,0.6564543370394361,4,0.8173734135067302,1,0,20,1,6,6,0,1,0,17
0,5,0.469228580888155,6,0.6207934683457998,1,0,20,1,7,7,0,1,0,10
1,3,0.6071844012101517,6,0.2837992766413477,1,0,20,17,7,7,0,1,0,10
2,6,1.001343887844428,6,0.7451603724272051,1,0,18,1,6,6,0,1,0,6
1,3,0.2130249145758753,3,0.5646277697283913,1,1,18,17,5,5,0,1,0,11
2,5,0.5677684525467243,5,0.6488763176545045,1,0,19,1,5,5,0,1,0,5
2,6,0.5227216540742352,6,0.4944206464566303,1,0,18,1,6,6,0,1,0,7
0,6,0.5119291919402014,6,0.4628274409843379,1,0,18,17,7,7,0,1,0,7
1,7,0.6071844012101517,6,0.2732682081505838,1,0,20,43,7,7,0,0,0,7
1,4,0.1637549787465907,2,-0.0672363397174564,1,1,20,17,6,6,0,1,0,12
1,3,0.1473316668034958,3,0.0029707835543045,1,0,20,17,5,5,0,0,0,10
2,5,0.2918568119027306,5,0.5947165368448603,1,0,18,1,5,5,0,0,0,6
2,5,0.8042641445272898,5,0.4803792218022782,1,0,18,1,5,5,0,0,0,5
0,2,0.2130249145758753,3,0.1433850300978261,1,0,21,17,6,6,0,1,0,12
2,4,0.2622948504051598,5,0.1012607561347698,1,0,19,1,5,5,0,1,0,9
0,0,-1.9548522619126447,0,-2.1734500378702823,1,0,19,1,0,0,0,0,0,0
2,5,0.8436800931907174,5,0.522503495765335,1,1,19,1,5,5,0,0,0,5
2,6,0.4495206065564409,6,0.8103527011795543,1,0,19,1,6,6,0,1,0,13
0,0,-1.9548522619126447,5,0.3750685368946369,1,0,19,17,7,7,0,1,0,0
2,5,0.7604686460123706,6,0.8103527011795543,1,0,20,44,6,6,0,1,0,17
1,5,0.686016298537007,5,0.522503495765335,1,1,18,1,6,6,0,1,0,7
2,6,0.7385708967549104,6,0.5646277697283913,1,0,18,17,6,6,0,1,0,6
2,8,1.0035336627701743,7,0.6630180381992444,1,0,19,17,8,7,0,1,0,9
0,7,0.7535864962457401,7,0.614650345059521,1,1,18,1,8,7,0,1,0,9
2,6,0.6071844012101517,6,0.4242135231848697,1,0,18,17,6,6,0,1,0,6
2,5,0.9225119905175728,5,0.4382549478392218,1,0,19,1,5,5,0,1,0,5
0,0,-1.9548522619126447,5,0.7752491395436738,1,0,19,17,7,7,0,1,0,7
2,7,0.3537961598024024,9,0.2837992766413477,1,0,20,43,7,9,0,0,0,8
0,4,0.5086445295515826,5,0.3540063999131088,0,1,19,1,6,6,1,0,0,9
2,4,0.3115647862344443,4,0.3961306738761651,1,0,20,17,5,5,0,1,0,5
2,6,0.9684972639582384,6,0.950766947723076,1,1,18,1,6,6,1,0,0,6
1,7,0.5860687144261725,5,0.6042245872536647,1,1,20,1,8,7,0,0,0,9
2,8,1.1984236311615664,7,1.196491879174239,1,0,18,18,8,7,0,0,0,8
2,6,0.5414911534377721,6,0.4944206464566303,1,0,19,1,7,7,0,1,0,7
2,5,0.4101046578930135,6,0.4944206464566303,1,1,19,1,6,6,0,1,0,10
1,0,-1.9548522619126447,0,-2.1734500378702823,0,0,22,51,5,5,1,1,0,7
2,6,0.3115647862344443,6,0.2135921533695871,1,1,19,1,6,6,0,1,0,6
2,8,0.4753873228668155,7,0.6920536984666373,1,1,19,1,8,7,0,1,0,11
2,5,0.1736089659124478,5,0.3540063999131088,1,1,19,17,6,6,0,1,0,9
0,0,-1.9548522619126447,0,-2.1734500378702823,1,0,19,1,5,5,0,1,0,10
0,3,0.344411410120634,5,0.1855093040608825,1,0,20,17,6,6,0,1,0,12
2,5,0.8371107684134794,5,0.6436107834091223,1,0,18,1,5,5,0,0,0,9
2,7,0.8394569558339217,6,0.7464642190022527,1,1,20,1,8,7,0,0,0,9
1,0,-1.9548522619126447,0,-2.1734500378702823,1,0,18,1,0,0,0,1,0,0
2,5,0.686016298537007,5,0.4382549478392218,1,0,19,1,5,5,0,0,0,6
1,5,0.1801782906896857,3,0.4242135231848697,1,0,18,17,6,6,0,1,0,10
2,5,0.3706887092295859,6,0.6348348930001524,1,0,18,1,6,6,0,1,0,8
0,3,0.0159451712587371,3,0.4944206464566303,1,0,21,43,6,6,0,1,0,12
0,4,0.3115647862344443,6,0.3540063999131088,1,0,19,1,6,6,0,0,0,10
2,5,0.3706887092295859,5,0.059136482171713,1,1,18,1,5,5,0,0,0,5
2,6,0.3819504088477081,6,0.4066617423669293,1,1,18,17,6,6,0,1,0,7
2,6,0.3772580340068238,4,0.1433850300978261,1,0,20,1,6,6,0,1,0,9
2,5,0.5283525038832964,5,0.1433850300978261,1,1,24,39,6,6,0,0,0,9
0,6,0.6071844012101517,6,0.5997313313642716,1,0,19,1,6,6,0,0,0,9
2,7,0.5601042403066134,7,0.5342046829772947,1,1,18,1,8,7,0,1,0,12
2,8,1.0713071967220122,7,0.9687575230614648,1,0,18,1,8,7,0,1,0,8
0,3,0.2130249145758753,4,0.2486957150054674,1,0,21,17,6,6,0,1,0,10
2,5,0.8436800931907174,5,0.8173734135067302,1,0,19,17,5,5,0,0,0,5
2,6,0.6071844012101517,6,0.45931708482075,1,1,19,17,6,6,0,0,0,7
1,0,-1.9548522619126447,0,-2.1734500378702823,1,0,47,39,6,1,1,0,0,0
2,4,0.2130249145758753,5,0.2837992766413477,1,0,19,17,6,6,0,0,0,12
2,7,0.8549417928088394,7,0.8294089203533179,1,0,29,39,8,8,0,0,0,8
0,2,0.2787181623482548,3,0.3540063999131088,1,0,21,43,6,6,0,1,0,12
1,4,0.1144850429173062,4,0.1960403725516468,1,0,28,39,5,5,0,1,0,11
2,8,0.7180417568260418,7,0.450290454685809,1,0,20,17,8,7,0,0,0,8
2,6,0.3476960725092527,6,0.2873096328049356,1,0,19,17,7,7,0,1,0,7
2,5,0.4101046578930135,3,0.2837992766413477,1,0,26,42,6,6,0,0,0,8
0,6,0.6400310250963411,4,0.3013510574592881,0,0,20,17,6,6,1,1,0,6
1,4,0.7057242728687207,3,0.2837992766413477,1,1,18,1,5,5,0,1,0,6
2,5,0.4101046578930135,5,0.6067520436914478,1,0,27,39,6,6,0,0,0,10
0,4,0.4002506707271563,4,0.3434753314223445,1,0,20,1,7,7,0,1,0,8
0,5,0.0947770685855924,5,0.4382549478392218,1,0,18,1,6,6,0,1,0,12
0,6,0.9192273281289538,6,0.8489666189790227,1,0,33,7,8,7,0,0,0,10
2,19,0.5656939289328593,21,0.4843910574178077,1,0,35,43,19,21,0,1,0,19
1,6,0.6400310250963411,6,0.4944206464566303,1,1,26,44,6,6,0,0,0,7
0,0,-1.9548522619126447,5,0.3540063999131088,0,0,27,39,6,6,1,0,0,6
0,0,-1.9548522619126447,6,0.389109961548989,0,0,19,18,6,6,0,1,0,6
0,0,-1.9548522619126447,0,-2.1734500378702823,1,0,20,17,6,6,0,0,0,0
0,3,0.1285621674399588,3,-0.0672363397174564,0,0,20,18,5,5,1,1,0,9
1,4,0.0159451712587371,8,0.2486957150054674,0,0,21,43,6,10,1,0,0,12
2,6,0.6170383883760087,6,0.5751588382191557,1,1,18,17,7,7,0,1,0,7
0,0,-1.9548522619126447,2,0.1433850300978261,1,0,24,39,6,6,0,1,0,6
2,6,0.4101046578930135,6,0.2486957150054674,1,0,20,17,6,6,0,1,0,6
2,6,0.5086445295515826,6,0.3540063999131088,1,1,21,1,6,6,0,0,0,6
1,1,0.0159451712587371,2,-0.0672363397174564,1,0,23,1,5,6,0,0,0,12
0,0,-1.9548522619126447,0,-2.1734500378702823,1,0,24,39,5,5,0,1,0,5
0,0,-1.9548522619126447,0,-2.1734500378702823,1,0,21,51,6,6,0,0,0,0
2,7,0.4579668812700329,7,0.4051573040111061,1,0,18,1,8,8,0,1,0,8
0,0,-1.9548522619126447,0,-2.1734500378702823,1,0,27,39,5,5,0,1,0,0
2,8,0.5941278682153912,8,0.5506741039781289,1,0,18,18,8,8,0,1,0,8
0,0,-1.9548522619126447,0,-2.1734500378702823,1,0,35,7,5,5,0,0,0,0
2,7,0.8887268916632062,7,0.4743614683789844,1,0,18,1,7,7,0,0,0,8
1,3,0.2787181623482548,3,0.3153924821136406,1,0,35,39,3,3,0,0,0,3
2,4,0.8699573922996694,4,0.7225937970898533,1,0,19,1,5,5,0,1,0,13
2,6,0.2787181623482548,6,0.1784885917337065,1,0,20,1,6,6,0,1,0,6
2,7,0.4740148032258562,7,0.4223079012674925,1,0,18,1,8,8,0,1,0,8
2,6,0.3537961598024024,6,0.389109961548989,1,0,21,44,6,6,1,0,0,7
2,4,0.2622948504051598,5,0.173473797214295,1,1,18,17,6,6,0,0,0,11
2,4,0.1637549787465907,4,0.1433850300978261,1,0,18,1,6,6,0,1,0,9
2,7,0.5902918517829681,7,0.5465745094585097,1,0,18,1,8,8,0,1,0,8
2,6,0.8371107684134794,6,0.7401455779077935,1,1,18,1,6,6,0,1,0,6
2,5,0.686016298537007,6,0.7451603724272051,1,0,19,1,6,6,0,1,0,9
0,5,0.5677684525467243,6,0.7150716053107359,1,1,36,39,6,6,0,0,0,6
2,7,0.536798778596888,7,0.4894058519372188,1,1,18,1,8,8,0,1,0,8
2,6,0.5907610892670567,6,0.5470759889104511,1,1,18,1,7,7,0,0,0,7
2,6,1.1702693821162609,6,1.117508865493508,1,1,20,43,6,6,0,1,0,8
0,0,-1.9548522619126447,0,-2.1734500378702823,1,1,26,39,5,5,0,0,0,8
2,6,0.4101046578930135,6,0.2938288656801707,1,0,21,43,6,6,0,0,0,7
1,8,0.6687718209967574,6,0.380334071140019,1,0,25,39,8,7,0,0,0,9
2,5,0.3312727605661581,5,0.2697578519869956,1,1,19,18,5,5,0,1,0,5
0,0,-1.9548522619126447,1,-0.0672363397174564,1,0,24,39,6,6,0,1,0,6
0,0,-1.9548522619126447,1,-0.0672363397174564,1,1,27,39,6,6,0,0,0,13
0,2,0.7057242728687207,0,-2.1734500378702823,1,0,21,17,5,5,0,0,0,9
2,3,0.475797905665393,4,0.5646277697283913,1,1,18,1,5,5,0,0,0,8
2,6,0.9028040161858588,6,0.6348348930001524,1,1,19,1,6,6,0,0,0,6
0,2,0.5086445295515826,4,0.1960403725516468,1,0,18,1,6,6,0,1,0,13
2,7,0.4481128941041751,5,0.7436559340713813,1,1,19,51,8,7,0,0,0,9
2,7,0.9840994103041784,6,0.7208386190080593,1,1,19,18,8,7,0,1,0,9
2,5,1.1590076824981386,6,1.0560776326307175,1,0,33,7,5,6,0,0,0,5
2,5,0.7648481958638623,5,0.1433850300978261,1,0,45,7,5,5,0,0,0,5
2,6,0.5790301521648463,6,0.3540063999131088,1,1,20,1,6,6,0,0,0,7
0,0,-1.9548522619126447,0,-2.1734500378702823,1,0,28,39,5,5,0,1,0,5
2,7,0.325641910757097,7,0.2637400985637018,1,1,19,43,8,8,0,1,0,15
2,3,0.5414911534377721,6,0.5345390026119224,1,0,18,1,6,6,0,1,0,6
0,0,-1.9548522619126447,0,-2.1734500378702823,1,0,38,39,6,6,0,0,0,0
2,5,0.6466003498735791,5,0.5646277697283913,1,0,19,1,5,5,0,0,0,5
2,5,0.4101046578930135,5,0.1433850300978261,1,1,21,1,6,6,0,0,0,8
0,1,1.001343887844428,3,0.3540063999131088,1,0,21,1,5,5,0,0,0,12
2,6,0.6071844012101517,5,0.4803792218022782,1,1,22,1,6,6,0,0,0,6
2,6,0.6400310250963411,5,0.6488763176545045,1,1,18,1,6,6,0,0,0,7
2,6,0.325641910757097,6,0.2135921533695871,1,1,18,17,6,6,0,0,0,9
0,4,0.8535340803565744,4,0.6699384546360325,0,0,25,1,5,5,0,1,0,10
0,3,0.0816384190311166,3,0.3013510574592881,0,0,24,39,6,6,1,0,0,14
1,7,0.3041742958600518,6,0.4532993313974562,1,0,19,1,7,7,0,1,0,8
1,9,0.7166731474974506,11,0.5454803724724564,1,0,24,16,13,17,0,1,0,15
2,5,0.7254322472004344,5,0.2697578519869956,1,1,20,1,5,5,0,1,0,5
0,0,-1.9548522619126447,0,-2.1734500378702823,0,0,25,39,5,5,0,0,0,9
2,10,0.4817700190992454,9,0.5435656327468632,1,1,20,1,10,10,0,0,0,12
2,8,0.6505419447399222,8,0.6109644710877536,1,0,23,7,8,8,0,0,0,8
2,7,0.6370279051981754,7,0.5965218628718483,1,1,19,17,8,8,0,1,0,8
0,3,0.2787181623482548,3,0.5119724272745706,0,0,29,44,6,6,1,0,0,8
2,4,0.459374593722298,6,0.2135921533695871,1,0,21,1,6,6,0,1,0,8
2,5,0.8324183935725952,6,0.617283112182212,1,1,18,1,6,6,0,1,0,13
1,5,0.4889365552198688,5,0.4382549478392218,1,0,19,1,6,6,0,1,0,6
0,6,0.5743377773239621,6,0.9858705093589564,1,1,18,1,6,6,0,1,0,6
2,5,0.6071844012101517,5,0.8594976874697869,1,0,19,1,5,5,0,0,0,6
1,0,-1.9548522619126447,1,0.1433850300978261,1,0,18,1,6,6,0,1,0,12
2,5,0.1736089659124478,5,0.4382549478392218,1,0,18,17,5,5,0,0,0,6
0,0,-1.9548522619126447,1,1.196491879174239,0,1,37,39,7,7,1,1,0,12
2,5,0.475797905665393,5,0.6849828381942671,1,0,29,17,5,5,0,0,0,14
1,6,0.5086445295515826,6,0.3189028382772284,1,0,18,17,6,6,0,0,0,6
2,5,0.5414911534377721,5,0.2837992766413477,1,1,19,1,6,6,0,1,0,9
0,2,0.6071844012101517,6,0.3189028382772284,0,0,22,43,7,10,1,1,0,8
2,5,0.1341930172490199,6,0.1784885917337065,1,1,20,1,6,6,0,0,0,10
0,0,-1.9548522619126447,0,-2.1734500378702823,1,0,34,39,6,6,0,0,0,0
0,6,0.442951281779203,8,0.3013510574592881,0,0,30,43,12,12,1,0,0,19
2,6,0.8042641445272898,6,0.7752491395436738,1,0,18,1,6,6,0,0,0,7
2,6,0.4101046578930135,6,0.5295242080925111,1,0,18,1,6,6,0,0,0,6
2,3,0.344411410120634,4,0.4066617423669293,1,0,18,1,6,6,0,1,0,10
2,7,0.9675587889900612,7,0.9497639888191935,1,0,18,17,8,8,0,1,0,8
2,5,0.5677684525467243,5,0.2276335780239392,1,1,19,1,6,6,0,1,0,8
2,6,0.5086445295515826,6,0.5646277697283913,1,1,19,1,6,6,0,1,0,8
2,7,0.7395093717230875,7,0.7060449751757956,1,1,18,1,8,8,0,0,0,8
2,5,0.5677684525467243,6,0.4944206464566303,1,1,21,44,6,6,0,0,0,8
0,1,0.6071844012101517,2,-0.0672363397174564,0,0,20,1,5,5,0,1,0,12
2,5,0.475797905665393,5,0.6699384546360325,1,0,20,17,5,5,0,1,0,8
2,8,0.7155782600345778,7,0.495122717689348,1,0,19,1,8,7,0,0,0,8
2,6,1.0858066349803444,6,0.8805598244513152,1,0,20,1,6,6,0,0,0,7
2,8,1.077712288379819,7,0.7090538518874416,1,0,18,17,8,7,0,1,0,8
0,3,0.1473316668034958,5,0.1433850300978261,1,0,20,42,6,6,0,0,0,10
0,5,0.6466003498735791,7,0.2603969022174275,0,0,29,7,7,9,1,0,0,12
1,8,0.7599212022809337,7,0.7325230902382887,1,1,18,1,8,7,0,0,0,8
2,7,0.7673820782779396,7,0.7760389696804814,1,1,20,1,8,7,0,1,0,11
2,4,0.2918568119027306,4,0.3540063999131088,1,1,22,16,5,5,0,1,0,8
2,6,0.8371107684134794,5,0.8103527011795543,1,1,47,1,6,6,0,1,0,7
2,5,0.7648481958638623,5,0.7752491395436738,1,0,31,51,5,5,0,0,0,5
2,6,0.5743377773239621,5,0.7331248655806175,1,1,21,1,6,6,0,0,0,6
2,6,0.3819504088477081,5,0.522503495765335,1,0,21,1,6,6,0,0,0,10
2,6,0.7714175206411001,6,0.389109961548989,1,0,24,39,6,6,0,0,0,6
1,6,0.475797905665393,6,0.45931708482075,1,0,18,17,6,6,0,0,0,6
2,4,0.3115647862344443,4,0.3540063999131088,1,0,32,39,6,6,0,0,0,12
2,6,0.3115647862344443,6,0.1082814684619458,1,1,19,18,6,6,0,1,0,9
2,8,0.6830601023872498,8,0.6457169971072751,1,0,24,39,8,8,0,1,0,8
2,6,0.9028040161858588,6,1.126284755902478,1,0,19,17,6,6,0,1,0,9
2,6,0.7714175206411001,6,0.8454562628154348,1,1,19,44,6,6,1,0,0,7
1,5,0.6071844012101517,6,0.233651331447233,1,0,24,44,6,6,0,0,0,12
2,6,0.344411410120634,6,0.2837992766413477,1,1,18,17,6,6,0,1,0,8
0,2,0.2787181623482548,5,0.3540063999131088,1,1,19,1,6,6,0,1,0,10
2,7,0.947287729677442,7,0.9281000764953364,1,1,19,1,8,8,0,0,0,8
2,6,0.7385708967549104,6,0.8103527011795543,1,1,18,17,6,6,0,1,0,6
2,6,0.475797905665393,6,0.2637400985637018,1,0,18,1,6,6,0,1,0,8
2,8,0.634282865916258,7,0.45931708482075,1,0,20,17,8,7,0,1,0,8
2,8,0.5795932371457522,8,0.5351407779542516,1,0,18,1,8,8,0,0,0,10
2,6,0.7479556464366787,6,0.4066617423669293,1,0,18,17,6,6,0,1,0,9
2,5,0.4495206065564409,4,0.3540063999131088,1,1,21,1,5,5,0,1,0,5
2,8,1.1984236311615664,7,1.010443002504073,1,1,18,1,8,7,0,0,0,9
0,4,0.0652151070880216,2,0.45931708482075,0,0,18,51,5,5,1,0,0,6
0,0,-1.9548522619126447,0,-2.1734500378702823,1,0,19,17,6,6,0,1,0,0
1,4,0.2130249145758753,4,0.1433850300978261,1,0,19,1,6,6,0,1,0,9
2,4,0.9225119905175728,6,0.3276787286861984,1,0,18,17,6,6,0,1,0,11
0,0,-1.9548522619126447,1,0.1433850300978261,1,0,34,39,5,5,0,1,0,5
2,5,0.6466003498735791,5,1.0279947833220129,1,0,19,1,5,5,0,0,0,6
0,2,0.2130249145758753,5,0.2697578519869956,0,0,19,44,6,6,1,1,0,12
